Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:16 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:17 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:18 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:19 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
Sun Dec 29 15:26:20 2013 [4562][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'sugarcrm.securitygroups_default' doesn't exist
